sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
12200;MAZ - EMBALAGEM MAZAMIX GALAO;13,9931;44,19;35,6448
12204;MAZ - MAZA MIX ATIVADOR BC 861 18L;450,8316;42,49;1083,944
12212;MAZ - MAZA MIX POLIESTER 811 AMARELO OXIDO 900ML;69,2452;65,26;246,4939
12214;MAZ - MAZA MIX POLIESTER 813 PRETO PLENO 3,6L;229,8953;65,24;817,7771
12215;MAZ - MAZA MIX POLIESTER 814 MARROM TRANSPARENTE 900ML;162,6667;65,25;578,8366
12220;MAZ - MAZA MIX POLIESTER 823 AZUL ESVERDEADO 900ML;75,4931;65,96;276,3382
12221;MAZ - MAZA MIX POLIESTER 824 AZUL 900ML;93,9394;65,24;334,1852
12223;MAZ - MAZA MIX POLIESTER 826 VERDE AZULADO 900ML;72,6612;65,24;258,4685
12224;MAZ - MAZA MIX POLIESTER 827 VERDE AMARELADO 900ML;71,7135;51,54;165,9872
12225;MAZ - MAZA MIX POLIESTER 828 VIOLETA 900ML;88,9697;65,25;316,6839
12226;MAZ - MAZA MIX POLIESTER 829 ROSA 900ML;165,9614;63,77;558,2034
12239;MAZ - MAZA MIX POLIESTER 845 PEROLA GOLD 900ML;184,2865;58,72;522,0949
12249;MAZ - MAZA MIX POLIESTER 862 CONTROLADOR DE COR 900ML;65,3333;65,25;232,4926
12252;MAZ - MAZA MIX POLIESTER 869 PRETO INTENSO 3,6L;201,0248;65,24;715,1633
12254;MAZ - MAZA MIX POLIESTER 874 VERMELHO VIVO 900ML;99,5482;65,25;354,2658
12293;MAZ - ACR FC PALHA PROFISSIONAL 3.6L;35,5041;60,39;106,1137
12341;MAZ - ACR ULTRA PLATINA MAZA 3,6L;60,7493;20,86;78,8792
12346;MAZ - ACR ULTRA AMARELO CANARIO MAZA 3,6L;60,7493;20,86;78,8792
12360;MAZ - ACR ULTRA TOMATE SECO MAZA 18L;179,4601;23,66;242,74
12362;MAZ - ACR FC PEROLA PROFISSIONAL MAZA  18L;89,9063;52,13;211,258
12482;XPT - TEXTURA GRANO BARRICA  23KG XPERT;66,1993;53,13;245,4586
12500;MAZ - ESM ALTA TEMP. PRETO FOSCO 600º MAZA 3,6L;243,8127;57,86;672,6493
12602;MAZ - ACR PREMIUM AMARELO SOL MAZA 18L;219,5262;54,35;547,3821
12611;MAZ - ACR PREMIUM SEMI BRILHO BRANCO MAZA 18L;359,9669;39,38;635,894
12651;MAZ - PISO AMARELO DEMARCACAO MAZA 900ML;20,5069;61,81;64,2947
12652;MAZ - PISO BRANCO MAZA 900ML;19,1185;63,76;64,2947
12653;MAZ - PISO CINZA MAZA 900ML;19,1185;63,76;64,2947
12654;MAZ - PISO CINZA CHUMBO MAZA 900ML;18,8209;64,18;64,2947
12657;MAZ - PISO VERDE MAZA 900ML;20,5069;61,81;64,2947
12664;MAZ - PAV DEMARCACAO VIARIA CINZA CLARO MAZA 18L;470,865;48,01;999,7753
12666;MAZ - PAV DEMARCACAO VIARIA CINZA ESCURO MAZA 18L;470,865;48,01;999,7753
12673;MAZ - ESM AGUA ECO BR AMARELO MAZA 3,6L;89,4876;19,29;113,6426
12693;MAZ - ESM BRONZE ANTIGO DIRETO NA FERRUGEM MAZA 3,6L;112,5013;19,47;141,8704
12700;MAZ - MARTELADO VERDE ESMERALDA  MAZA 900ML;32,1653;57,27;87,1827
12716;MAZ - ACR FC CAMURCA  PROFISSIONAL 3.6L;35,5041;60,39;106,1137
12718;MAZ - ACR FC VERDE LIMAO PROFISSIONAL 18L;89,9063;54,72;226,4505
12722;MAZ - PAV DEMARCACAO VIARIA AZUL  MAZA 18L;470,865;47,72;993,1045
12723;MAZ - ACR FC AREIA  PROFISSIONAL 3.6L;35,5152;55,82;92,2729
12737;MAZ - THINNER / DILUENTE PU 5230 MAZA 450ML;10,8179;46,89;30,4332
12748;MAZ - ACR FC PALHA  PROFISSIONAL MAZA 18L;89,9063;52,13;211,258
12749;MAZ - ACR FC AMARELO CROMO  PROFISSIONAL MAZA 18L;89,9063;52,13;211,258
12750;MAZ - ACR FC LILAS  PROFISSIONAL MAZA 18L;89,9063;46,45;184,163
12751;MAZ - ACR FC CAMURCA  PROFISSIONAL MAZA 18L;89,9063;52,13;211,258
12753;MAZ - ACR ULTRA MARROCOS MAZA 18L;179,4601;23,66;242,74
12754;MAZ - ACR ULTRA VERDE MUSGO   MAZA 18L;179,4601;23,66;242,74
12756;MAZ - ACR ULTRA AMARELO CANARIO MAZA 18L;179,4601;23,66;242,74
12766;MAZ - MAZA MIX BINDER P/ MAZAPOXI M298 II;209,5317;70,34;931,6285
12803;MAZ - PISO AZUL MAZA 900ML;19,1185;63,76;64,2947
13260;MAZ - PISO CONCRETO MAZA 900ML;19,1515;63,72;64,2947
